//Vanilla

//Vanilla Echoes

ec-Chimney1|Behold this empty husk of a land...
ec-Chimney2|Populated only by storms, ruins and abominations. It wasn't always thus.
ec-Chimney3|I was once the Count of 2 living blocks, esteemed by my peers. I had progeny!
ec-Chimney4|From within my vessel of flesh, I would perch upon this spot to observe the rising of the sun.
ec-Chimney5|Corporeal matters seem so distant now. Most have forgotten this place, but I remain.
ec-Chimney6|Perhaps I reminisce because I cannot go. Perhaps I cannot go because memory traps me here.

ec-Sky1|Do you hear it, little one?
ec-Sky2|The buzzing in the air?
ec-Sky3|The endless chatter of a thousand thousand voices, long dead?
ec-Sky4|They are gone, and yet they speak. Neither here nor there.
ec-Sky5|Does that seem familiar? Yes, it is quite amusing for a being in my predicament!

ec-Farm1|Strange...
ec-Farm2|Something still draws me here. Even after all this time.
ec-Farm3|The weather is so different now, but the fields...
ec-Farm4|I do not need eyes to know that the grasses still sway gently in the winds.
ec-Farm5|To have grasped at the boundless infinites of the cosmic void...
ec-Farm6|Yet here I am contemplating these same fields as I once did, talking to some sort of rodent.

ec-Shaded1|You have no name.
ec-Shaded2|I once had! I was embalmed, adorned, readied for the journey.
ec-Shaded3|So proud. There was jubilation! My name was sung, loud and clear.
ec-Shaded4|Did they know? That I didn't quite leave, didn't quite stay?
ec-Shaded5|Should I be ashamed? That I linger here, where my memories are kept?
ec-Shaded6|Should I be ashamed that I now envy your flesh prison?

ec-Wall1|We can feel your presence, little creature.
ec-Wall2|Your attunement has become... much closer to ours.
ec-Wall3|The mark you received is an unimaginable gift.
ec-Wall4|The struggle, the cycles...
ec-Wall5|It can all fade, like a morning mist beneath the glory of the sun.
ec-Wall6|We found a way.

ec-Sub1|A little beast!
ec-Sub|But not as dim as the rest, perhaps?
ec-Sub|So down into the depths you go as many others before you, drawn to the void again and again, an endless drip drip drip.
ec-Sub|Much like these tunnels and caves that amuse me so. The bones of forgotten civilizations, heaped like so many sticks.
ec-Sub|Did they dig too deep, or not deep enough?
ec-Sub|Fools. We were right to drill straight through them!

// Moon Pearl Dialouge

it-lttm-pearl-CC1|This information is illegal. Someone probably tried to send it by<LINE>a pearl somehow rather than risking being overheard on broadcast.
it-lttm-pearl-CC2|I think the risk of you acting on this is very slim, so I'll go ahead and explain it to you.<LINE>It's an instruction on how to circumvent the self-destruction taboo.
it-lttm-pearl-CC3|The problem with breaking taboos is that the barriers are encoded<LINE>into every cell of our organic parts. And there are other taboos<LINE>strictly regulating our ability to rewrite our own genome.
it-lttm-pearl-CC4|So what you need is to somehow create a small sample of living organic matter<LINE>which can procreate and act on the rest of your organic matter to re-write its genome.<LINE>The re-write has to be very specific, overriding the specific taboo you want to<LINE>circumvent but do nothing else.
it-lttm-pearl-CC5|The method described here is about scrambling the genome of standard<LINE>plastic neural tissue with temperature fluctuations. After each scramble<LINE>you browse the resulting cells for the genome you're after.<LINE>This is of course extremely time consuming, unless you run a<LINE>big number of parallel processes.
it-lttm-pearl-CC6|I definitely don't have any experience with this, but to me it would<LINE>seem that too many parallel processes would be quite dangerous, as it would<LINE>be exponentially more difficult to manage and control them all.<LINE>The whole operation seems rather risky if you ask me.
it-lttm-pearl-CC7|It might be a good thing that this pearl never reached its destination.

it-lttm-pearl-LF_west1|This one is just plain text. I will read it to you.
it-lttm-pearl-LF_west2|"On regards of the (by spiritual splendor eternally graced) people of the Congregation of Never Dwindling Righteousness,<LINE>we Wish to congratulate (o so thankfully) this Facility on its Loyal and Relished services, and to Offer our Hopes and<LINE>Aspirations that the Fruitful and Mutually Satisfactory Cooperation may continue, for as long as the Stars stay fixed on their<LINE>Celestial Spheres and/or the Cooperation continues to be Fruitful and Mutually Satisfactory."
it-lttm-pearl-LF_west3|"It is with Honor I, Eight Suns-Countless Leaves, of the House of Six Wagons, Count of no living blocks, Counselor of 2, Duke of 1,<LINE>Humble Secretary of the Congregation of Never Dwindling Righteousness, write this to You."
it-lttm-pearl-LF_west4|"We hope that the Crops are healthy, and that the Productivity with which your Facility is Blessed, leads (as it often does)<LINE>to further Prosperity. May Not as long as the Stars stay fixed on their Celestial Spheres Grey Hand, Impure Blood,<LINE>Inheritable Corruption, Parasites, or malfunction settle in Your establishment."
it-lttm-pearl-LF_west5|"Leaning on the Solid Foundation of our Long Running Fruitful and Mutually Satisfactory Cooperation, we will take the liberty of stating<LINE>The Reason for this Message ~ we write to Warmly thank You for yet Another Timely and Appreciated delivery of your Product (Nectar) to our<LINE>Community (Congregation of Never Dwindling Righteousness). Our humble Words can never Aspire to Describe our gratitude."
it-lttm-pearl-LF_west6|"Sincerely..." And then the name and titles again.
it-lttm-pearl-LF_west7|It's a confirmation to an automated farming plot that a shipment of beverages has arrived.

it-lttm-pearl-LF_bottom1|It's a Small Plate, a little text of spiritual guidance.<LINE>It's written by a monk called Four Cabinets, Eleven Hatchets.<LINE>It's old, several ages before the Void Fluid revolution.
it-lttm-pearl-LF_bottom2|Like most writing from this time it’s quite shrouded in analogies, but the subject is how to shed<LINE>one of the five natural urges which tie a creature to life. Namely number four, gluttony.
it-lttm-pearl-LF_bottom3|It is basically an instruction on how to starve yourself<LINE>on herbal tea and gravel, but disguised as a poem.
it-lttm-pearl-LF_bottom4|Now of course when Void Fluid was discovered these methods proved obsolete, as it was<LINE>more easy just jumping in a vat of it to effortlessly leave this world behind.
it-lttm-pearl-LF_bottom5|There were some horror stories though... That if your ego was big enough, not even the Void Fluid could<LINE>entirely cross you out, and a faint echo of your pompousness would grandiosely haunt the premises forever.
it-lttm-pearl-LF_bottom6|So even when the Void Fluid baths became cheaper,<LINE>some would still starve and drink the bitter tea.

it-lttm-pearl-HI1|It's a production record of a mask factory, for what seems to be its last time in service.<LINE>Have you seen a bone mask? Likely not, they are all gone with their owners.
it-lttm-pearl-HI2|In ancient times the masks were actually about showing spiritual persuasion - covering the<LINE>face as a way to symbolically abate the self. Then of course, that was quite subverted as<LINE>excessively ornate and lavish masks became an expression of identity. Some public persons<LINE>did have problems with narrow doorways.
it-lttm-pearl-HI3|Originally monks in a temple would make the masks using bone plaster, and when the production was automated it would<LINE>generally remain on the same site. So that the old stones could... radiate the material with holiness, I suppose.
it-lttm-pearl-HI4|This is from one such facility called Side House, which was here on Pebble's grounds. In the iterator projects many<LINE>old industrial-religious sites like this were remodeled and incorporated. I think this one was made to provide pellets<LINE>of holy ash to Pebbles, but knowing him he probably hasn't used much of it!

it-lttm-pearl-SH1|Oh this one is interesting. You must have found it in the memory crypts?<LINE>It has some plain text, I can read it out to you.
it-lttm-pearl-SH2|"In this vessel is the living memories of Seventeen Axes, Fifteen Spoked Wheel, of the House of Braids,<LINE>Count of 8 living blocks, Counselor of 16, Grand Master of the Twelfth Pillar of Community,<LINE>High Commander of opinion group Winged Opinions, of pure Braid heritage, voted Local Champion in the<LINE>speaking tournament of 1511.090, Mother, Father and Spouse, Spiritual Explorer and honorary member of<LINE>the Congregation of Balanced Ambiguity. Artist, Warrior, and Fashion Legend.
it-lttm-pearl-SH3|Seventeen Axes, Fifteen Spoked Wheel nobly decided to ascend in the beginning of  1514.008, after graciously donating all (ALL!) earthly<LINE>possessions to the local Iterator project (Unparalleled Innocence), and left these memories to be cherished by the carnal plane.
it-lttm-pearl-SH4|The assorted memories and qualia include:
it-lttm-pearl-SH5|Watching dust suspended in a ray of sun (Old age).<LINE>Eating a very tasty meal (Young child).<LINE>Defeating an opponent in a debate contest, and being applauded by fellow team members (Late childhood/Early adulthood).
it-lttm-pearl-SH6|..."
it-lttm-pearl-SH7|...and the list goes on. I'm sorry, little creature, I won't read<LINE>all of this - the list is six hundred and twenty items long.

it-lttm-pearl-DS1|It's an old text. The verses are familiar to me, but I don't remember by whom they were written.<LINE>The language is very old and intricate.
it-lttm-pearl-DS2|The first verse starts by drawing a comparison between the world and a tangled rug.<LINE>It says that the world is an unfortunate mess. Like a knot, the nature of its existence<LINE>is the fact that the parts are locking each other, none able to spring free.
it-lttm-pearl-DS3|Then as it goes on the world becomes a furry animal hide, I suppose... because now us living<LINE>beings are like insects crawling in the fur. And then it's a fishing net, because the more we<LINE>struggle and squirm, the more entangled we become.
it-lttm-pearl-DS4|It says that only the limp body of the jellyfish cannot be captured in the net.<LINE>So we should try to be like the jellyfish, because the jellyfish doesn't try.
it-lttm-pearl-DS5|This was an eternal dilemma to them - they were burdened by great ambition,<LINE>yet deeply convinced that striving in itself was an unforgivable vice.<LINE>They tried very hard to be effortless. Perhaps that's what we were to them,<LINE>someone to delegate that unrestrained effort to.
it-lttm-pearl-DS6|I know I have tried very hard.

it-lttm-pearl-SB_filtration1|It's the blueprint for a Void Fluid filtration system.<LINE>Do you know what Void Fluid is? I think you don't.
it-lttm-pearl-SB_filtration2|If you leave a stone on the ground, and come back some time later, it's covered in dust. This happens<LINE>everywhere, and over several lifetimes of creatures such as you, the ground slowly builds upwards.
it-lttm-pearl-SB_filtration3|So why doesn't the ground collide with the sky? Because far down, under the very very old layers of the earth,<LINE>the rock is being dissolved or removed. The entity which does this is known as the Void Sea.
it-lttm-pearl-SB_filtration4|If you drill far enough into the earth you begin encountering a substance called Void Fluid.<LINE>The deeper you go, the less rock and more Void Fluid. It's believed that there is a point<LINE>where the rock completely gives way - below that would be the Void Sea.
it-lttm-pearl-SB_filtration5|When that stone you placed on the ground has finally done its time in the sediments,<LINE>it meets the Void Fluid and is dissolved, leaving the physical world.
it-lttm-pearl-SB_filtration6|My creators, or rather my creators' ancestors, figured out a way to use Void Fluid.<LINE>Because you can generate energy by creating a vacuum... never mind. Anyways,<LINE>the Void Fluid drills were what started the big technological leap, but this is very<LINE>long before I entered this world - so I can only tell you what I remember from priming.
it-lttm-pearl-SB_filtration7|A Void Fluid filtration system is used because if you take Void Fluid from close to the bedrock horizon,<LINE>it will contain traces of rock and dirt. They bring in dirty fluid and then filter it to increase its purity.<LINE>The other way is to put a pipe deeper, which works well for some time, but the pipe dissolves.<LINE>Or is broken by some... force - no one really knows, you don't go down there and come back up.
it-lttm-pearl-SB_filtration8|I hope that satisfied your curiosity, little creature?

it-lttm-pearl-GW1|This one... is authored by Five Pebbles, when he was young. There has been an attempt to<LINE>scramble the data, but it's sloppily done, and most is still somewhat legible.
it-lttm-pearl-GW2|It's written in internal language, or thoughts, so it is hard for me to translate so you would understand. It's a methodology for<LINE>global ascension of course - quite good, although the Peripherists or the Slab Mongers certainly wouldn't agree!
it-lttm-pearl-GW3|"...considering the eight and the twenty sixth amendments to the Capricious Dogma, we are apparently supposed to take<LINE>for granted that a meaning collector point inversion is the only way to approach what has later become referred to<LINE>as 'noise milking' (or occasionally 'rock swatting'). I will argue my disagreement with this, not in regards to kind<LINE>but in regards to..." Could it say... "volume"? Actually, are you getting anything out of this?
it-lttm-pearl-GW4|I suppose you found this in his waste department? I would be wary of going there - on his first fit<LINE>of corruption he dumped a lot of infected material there, and if it has survived it could easily eat<LINE>a little creature like you. Not that it would be as dangerous as going into Pebbles himself...
it-lttm-pearl-GW5|But, you seem to have made it out of there.

it-lttm-pearl-SL_bridge1|It's about the local aquifer - it must be quite old, from when Five Pebbles was in the planning phase.
it-lttm-pearl-SL_bridge1|Water is the most important resource for our basic function. Most of our processing is outsourced to<LINE>microbe strata which need a flow of clean water or else slag builds up, our processes seize, and<LINE>eventually we die. It is... very painful. They used to say that an iterator drinks a river, but neither<LINE>of us two have seen a natural river so I suppose the analogy is lost on us, <PlayerName>!
it-lttm-pearl-SL_bridge1|Originally water supply was very important when placing iterators. Later there would be a great equalizer - the fact that we breathe out as much<LINE>vapor as we inhale water led to there being water available everywhere, and the latest few generations could be placed almost completely freely.
